Project,Project Title,Bridge Key,Desc,Need help
27549,Overland Avenue Bridge,1277,unclear,Y
111788,Thompson Run Creek Bridge,2629,"similar bridge, but this one is much older",Y
56883,Spruce Run Road Bridge,,NOT IN NBI,Y
26971,Butler Street Bridge,,multiple possibilities,Y
27751,Lincoln Avenue Bridge over Girtys Run,,multiple possibilities,Y
27939,Klopfer Street Bridge,,multiple possibilities,Y
28309,SR 65 Ramps & SR 279 Ft. Duq,,multiple possibilities,Y
62742,SR 28  ov Crawford Run Road,,either 644 or 645,Y
28279,Mission Street West Bridge,,either 2427 or 2428,Y
100711,Union Avenue over Spruce Run,1941,"confirm, two possibilities but this one most likely",Y
100664,Buena Vista Rd Bridge,1521,"confirm, two possibilities but this one most likely",Y
78202,Main Street over Robinson Run,,can't locate,Y
78272,SR 3070 ov Montour Run,,can't locate,Y
115515,North Shore Expressway,,can't locate,Y
117472,Bridge over Route 51 Near Woodruff Street,,can't locate,Y
93394,AL Local BPRS Group 4,"2386, 2554, 2203, 2202",package deal,
28426,AL Local BPRS Group 5,"2574, 2174, 2634, 2135",package deal,
100959,SR 28 Deck Replacements,"629, 630, 631, 632",package deal,
27316,AL Local BPRS Group 2,"2631, 2632, 2172, 2179, 2247, 2235",package deal,
113636,Center Avenue Bridge,1482,"IN ONEMAP, NOT NBI",
106390,Bridge Wash 2020,,,
112948,Bridge Wash 2023,,,
27806,Corliss Tunnel,,,
93922,AR01 - Armstrong Tunnel,,,
78232,Electric Ave ov Falls Run,40980,,
57093,Rockwood Dr/Squaw Run Ck,39996,,
113638,Monroeville Mall Bridge,2896,,
113632,Ramp B to I-279 NB,2855,,
100938,SR 3144 ov PA 60,2836,,
117889,California Avenue Bridge,2834,,
105457,Neville Island Bridge Ramps - Phase 3,2785,,
109562,Blvd of Allies - Ramp H- Deck Replacement,2730,,
93371,Patton St Bridge (TL13),2723,,
56960,Rankin Bridge,2666,,
93915,Talbot Ave Ramp Bridge,2665,,
93917,Kenmawr Ave Ramp,2663,,
117800,Taylor Ave Over Dirty Camp Run,2660,,
27534,Fremont Street Bridge,2620,,
28323,Trumbull Drive Bridge,2596,,
88398,CM03 - Campbells Run No. 3,2567,,
27779,Baldwin St Bridge   (ML06),2560,,
28044,Versailles Avenue Viaduct,2519,,
103366,Homestead-Grays Bridge Rehabilitation,2503,,
27144,28th Street Bridge,2461,,
27747,Swinburne Bridge,2457,,
114150,Swindell Bridge,2456,,
83137,South Negley Ave. Bridge,2453,,
27138,S. Millvale Avenue Bridge,2452,,
117365,Maple Ave Bridge,2422,,
27306,Lowrie Street Bridge,2421,,
106386,Larimer Avenue Bridge,2419,,
117366,Herron Ave Bridge Preservation,2416,,
117368,Corley St Bridge,2414,,
110319,Forbes Avenue ov Fern Hollow,2410,,
117367,Elizabeth St Bridge,2409,,
117369,Calera St Bridge Replacement,2399,,
27303,Ansonia Place Bridge,2395,,
91907,Charles Anderson Bridge,2394,,
93366,OK03 Oakwood Run #3,2389,,
76388,6th Street Bridge Rehab,2381,,
88414,PA03 - Painters Run No. 3,2248,,
27322,Days Run Bridge No. 3 (DY03),2129,,
117473,Steen Road Bridge,2113,,
113631,Bakerstown Road Bridge,2013,,
100724,Wexford Run Road over Ray,2002,,
100701,McKees Rocks Bridge Phase 3,1876,,
100699,Clinton-Frankfort Road Bridge,1845,,
78152,Ewing Road over Meek Run,1841,,
100686,Grant St Br ov Robinson,1747,,
109548,Presto Sygan Road Bridge,1745,,
105451,SR 3015 ov Lick Run Creek,1724,,
69071,40th Street Bridge,1674,,
63583,McKeesport Duquesne Bridge,1668,,
28345,Jerome Street Bridge,1651,,
111630,Hall Station Bridge,1575,,
100661,Ella Hollow Road Bridge,1507,,
63515,New Kensington Bridge,1475,,
78221,Saxonburg Road ov Branch Little Bull Creek,1474,,
100654,Howes Run Rd ov McDow Rn,1465,,
109549,Highland Park Bridge,1380,,
63330,Bateman Road Bridge,1353,,
63329,Clinton Avenue Bridge,1350,,
100637,Clinton Rd ov NB Robinson,1350,,
109558,PA 910 over Deer Creek 2,1337,,
93419,MA08 - Glenwood Bridge,1310,,
105438,"I-376, Commercial Street Bridge",1167,,
100624,Tarentum Bridge Over Allegheny River,1108,,
100618,PA 136 Rainbow Run ov Beckets,958,,
62721,"SR 51, Chartiers Avenue ov Chartiers Creek",751,,
111624,Westinghouse Bridge,674,,
27445,22/30 over the Parkway West,555,,
113647,62nd Street Bridge SB Approach,492,,
69055,62nd Street Bridge NB Approach,491,,
100958,62nd Street Bridge,488,,